server_id,server_name,bmc_type,result,best_path,best_mode,best_http,best_score,best_unavailable,error
280,"s588","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
281,"s601","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
282,"s602","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
283,"s603","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
284,"s105","idrac","HTML5_READY","/viewer.html","html",200,55,0,""
285,"s22","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
286,"s42","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
287,"s188","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
288,"s258","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
289,"s41","idrac","HTML5_READY","/viewer.html","html",200,55,0,""
290,"s169","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
291,"s191","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
292,"s120","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
293,"s698","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
294,"s08","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
295,"s156","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
296,"s182","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
297,"s391","ami","HTML5_READY","/","html",200,25,0,""
298,"s395","ami","HTML5_READY","/","html",200,25,0,""
299,"s269","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
300,"s1045","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
301,"s1046","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
302,"s1047","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
303,"s1048","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
304,"s1049","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
305,"s1050","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
306,"s122","ilo4","NO_WORKING_ENDPOINT","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",0,10,0,""
307,"s160","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
308,"s393","ami","HTML5_READY","/","html",200,25,0,""
309,"s55","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
310,"s479","ami","HTML5_READY","/","html",200,25,0,""
311,"s219","ami","HTML5_READY","/","html",200,25,0,""
312,"s1219","supermicro","NO_WORKING_ENDPOINT","/cgi/url_redirect.cgi?url_name=ikvm&url_type=html5","html",404,-75,0,""
313,"s1214","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
314,"s187","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
315,"s79","ami","HTML5_READY","/console","html",200,55,0,""
316,"s414","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
317,"s11","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
318,"s165","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
319,"s50","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
321,"s261","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
322,"s118","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
323,"s126","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
324,"s313","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
325,"s898","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
326,"s968","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
327,"s1073","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
328,"s1166","ami","HTML5_READY","/","html",200,25,0,""
329,"s1255","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
330,"s1256","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
331,"s1257","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
332,"s1258","supermicro","NO_WORKING_ENDPOINT","/cgi/url_redirect.cgi?url_name=ikvm&url_type=html5","html",404,-75,0,""
333,"s1259","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
334,"s1260","supermicro","NO_WORKING_ENDPOINT","/cgi/url_redirect.cgi?url_name=ikvm&url_type=html5","html",404,-75,0,""
335,"s1261","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
336,"s349","ami","HTML5_READY","/console","html",200,55,0,""
337,"s808","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
338,"s277","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
339,"s332","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
340,"s597","supermicro","NO_WORKING_ENDPOINT","/cgi/url_redirect.cgi?url_name=ikvm&url_type=html5","other",404,-80,0,""
341,"s943","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
342,"s37","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
343,"s476","ami","HTML5_READY","/","html",200,25,0,""
344,"s331","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
345,"s970","supermicro","NO_WORKING_ENDPOINT","/cgi/url_redirect.cgi?url_name=ikvm&url_type=html5","html",404,-75,0,""
346,"s1301","supermicro","NO_WORKING_ENDPOINT","/cgi/url_redirect.cgi?url_name=ikvm&url_type=html5","html",404,-75,0,""
347,"s1302","supermicro","NO_WORKING_ENDPOINT","/cgi/url_redirect.cgi?url_name=ikvm&url_type=html5","html",404,-75,0,""
348,"s1303","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
349,"s1304","supermicro","NO_WORKING_ENDPOINT","/cgi/url_redirect.cgi?url_name=ikvm&url_type=html5","html",404,-75,0,""
350,"s1305","supermicro","NO_WORKING_ENDPOINT","/cgi/url_redirect.cgi?url_name=ikvm&url_type=html5","html",404,-75,0,""
351,"s1306","supermicro","NO_WORKING_ENDPOINT","/cgi/url_redirect.cgi?url_name=ikvm&url_type=html5","html",404,-75,0,""
352,"s1307","generic","NO_WORKING_ENDPOINT","/","other",0,-80,0,""
